_id,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Available ICU Beds,Adult Population,Positive,Negative,Total Test Results,Date Modified,Hospitalized Infections,Hospitalized Infections vs Hospital Beds,Hospitalized Infections vs ICU Beds,Hospitalized Infections vs Adult Population
5ea903a5fd1f12e726037bae,AK,1583,130,533,55,552319,119,3594,3713,2020-03-30 23:00:00,8.33,1.56%,15.15%,0.00%
5ea903a5fd1f12e726037baf,AL,13959,1870,4994,606,3748089,947,5694,6641,2020-03-30 04:00:00,66.29,1.33%,10.94%,0.00%
5ea903a5fd1f12e726037bb0,AR,8428,856,4069,362,2272226,508,5520,6028,2020-03-31 00:17:00,35.56,0.87%,9.82%,0.00%
5ea903a5fd1f12e726037bb1,AZ,12868,1742,4938,814,5187520,1157,15602,16759,2020-03-30 04:00:00,80.99000000000001,1.64%,9.95%,0.00%
5ea903a5fd1f12e726037bb2,CA,68554,8131,22831,3381,29868127,7398,21488,28886,2020-03-30 04:00:00,517.86,2.27%,15.32%,0.00%
5ea903a5fd1f12e726037bb3,CO,9620,1264,4033,500,4185186,2627,12737,15364,2020-03-30 22:00:00,183.89000000000001,4.56%,36.78%,0.00%
5ea903a5fd1f12e726037bb4,CT,6894,731,1643,285,2831746,2571,12029,14600,2020-03-30 19:30:00,179.97000000000003,10.95%,63.15%,0.01%
5ea903a5fd1f12e726037bb5,DC,2405,401,671,159,554333,495,3262,3757,2020-03-30 04:00:00,34.650000000000006,5.16%,21.79%,0.01%
5ea903a5fd1f12e726037bb6,DE,1864,249,516,63,739679,264,2216,2480,2020-03-30 04:00:00,18.48,3.58%,29.33%,0.00%
5ea903a5fd1f12e726037bb7,FL,51190,6226,17651,2044,16166865,5704,49796,55500,2020-03-30 22:30:00,399.28000000000003,2.26%,19.53%,0.00%
5ea903a5fd1f12e726037bb8,GA,23831,2703,7210,752,7702432,3032,10425,13457,2020-03-30 23:07:00,212.24,2.94%,28.22%,0.00%
5ea903a5fd1f12e726037bb9,HI,2623,219,795,73,1114075,193,7825,8018,2020-03-30 22:00:00,13.510000000000002,1.70%,18.51%,0.00%
